	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
53	1	2	529.0	528.0	448.0	447.0	496.0	495.0	e	3472	487.0	487	[2, 4, 3, 1, 2, 3, 4, 1]	[2, 4, 3, 1, 2, 3, 4, 1]	random	447.0	447.0	449.0	448.0	101	560.0	559.0	0	543.0	543.0
54	1	2	415.0	415.0	481.0	480.0	383.0	383.0	e	3247	455.0	455	[4, 1, 2, 3, 1, 4, 3, 2]	[4, 1, 2, 3, 1, 4, 3, 2]	random	577.0	576.0	543.0	543.0	101	464.0	464.0	0	384.0	384.0
55	1	2	753.0	752.0	592.0	591.0	479.0	479.0	e	3808	454.0	454	[3, 2, 1, 4, 2, 1, 4, 3]	[3, 2, 1, 4, 2, 1, 4, 3]	random	463.0	463.0	609.0	608.0	101	432.0	432.0	0	480.0	480.0
56	1	2	527.0	527.0	480.0	479.0	480.0	479.0	e	3536	357.0	357	[1, 4, 2, 3, 1, 3, 2, 4]	[1, 4, 2, 3, 1, 3, 2, 4]	random	432.0	432.0	529.0	528.0	101	656.0	655.0	0	432.0	431.0
57	1	2	623.0	623.0	560.0	559.0	448.0	447.0	e	3647	742.0	742	[3, 1, 4, 2, 1, 2, 4, 3]	[3, 1, 4, 2, 1, 2, 4, 3]	random	545.0	544.0	528.0	527.0	101	448.0	447.0	0	495.0	495.0
58	1	2	464.0	464.0	592.0	591.0	463.0	463.0	e	3216	549.0	549	[3, 2, 1, 4, 2, 3, 1, 4]	[3, 2, 1, 4, 2, 3, 1, 4]	random	449.0	448.0	448.0	447.0	101	416.0	416.0	0	384.0	384.0
59	1	2	607.0	607.0	592.0	592.0	417.0	416.0	e	3759	454.0	454	[2, 3, 1, 4, 2, 4, 3, 1]	[2, 3, 1, 4, 2, 4, 3, 1]	random	576.0	576.0	608.0	608.0	101	544.0	543.0	0	415.0	415.0
60	1	2	655.0	655.0	495.0	495.0	464.0	464.0	e	3775	453.0	453	[3, 1, 4, 2, 4, 1, 2, 3]	[3, 1, 4, 2, 4, 1, 2, 3]	random	561.0	560.0	544.0	543.0	101	512.0	512.0	0	544.0	543.0
61	1	2	576.0	576.0	640.0	640.0	433.0	432.0	e	3728	485.0	485	[3, 1, 4, 2, 3, 1, 2, 4]	[3, 1, 4, 2, 3, 1, 2, 4]	random	640.0	640.0	512.0	512.0	101	495.0	495.0	0	432.0	432.0
62	1	2	496.0	495.0	512.0	511.0	463.0	463.0	e	3168	517.0	517	[3, 2, 1, 4, 3, 2, 1, 4]	[3, 2, 1, 4, 3, 2, 1, 4]	random	448.0	447.0	416.0	415.0	101	416.0	416.0	0	416.0	416.0
63	0	2							e	448	404.0	404	[4, 4]	[4, 3, 1, 2, 3, 2, 1, 4]	random					101			0		448.0
64	1	2	704.0	704.0	416.0	416.0	448.0	448.0	e	3712	440.0	440	[4, 3, 1, 2, 3, 1, 4, 2]	[4, 3, 1, 2, 3, 1, 4, 2]	random	496.0	496.0	592.0	592.0	101	576.0	576.0	0	480.0	480.0
65	1	2	672.0	671.0	543.0	543.0	448.0	448.0	e	3823	421.0	421	[4, 3, 1, 2, 3, 1, 4, 2]	[4, 3, 1, 2, 3, 1, 4, 2]	random	480.0	479.0	560.0	559.0	101	576.0	576.0	0	544.0	544.0
66	1	2	545.0	544.0	560.0	559.0	479.0	479.0	e	3872	422.0	422	[4, 3, 1, 2, 3, 1, 2, 4]	[4, 3, 1, 2, 3, 1, 2, 4]	random	543.0	543.0	593.0	592.0	101	593.0	592.0	0	559.0	559.0
67	1	2	496.0	495.0	544.0	543.0	463.0	463.0	e	4079	597.0	597	[3, 4, 2, 1, 2, 1, 3, 4]	[3, 4, 2, 1, 2, 1, 3, 4]	random	640.0	639.0	624.0	623.0	101	768.0	767.0	0	544.0	544.0
68	1	2	592.0	592.0	624.0	623.0	480.0	479.0	e	4032	582.0	582	[2, 4, 3, 1, 2, 1, 3, 4]	[2, 4, 3, 1, 2, 1, 3, 4]	random	641.0	640.0	640.0	639.0	101	496.0	495.0	0	559.0	559.0
69	1	2	560.0	559.0	545.0	543.0	464.0	463.0	e	3759	821.0	821	[3, 2, 1, 4, 3, 4, 1, 2]	[3, 2, 1, 4, 3, 4, 1, 2]	random	512.0	511.0	639.0	639.0	101	463.0	463.0	0	576.0	576.0
70	1	2	544.0	544.0	529.0	528.0	496.0	495.0	e	3680	598.0	598	[3, 1, 4, 2, 4, 2, 3, 1]	[3, 1, 4, 2, 4, 2, 3, 1]	random	689.0	687.0	415.0	415.0	101	447.0	447.0	0	560.0	560.0
71	1	2	479.0	479.0	560.0	560.0	432.0	432.0	e	3599	517.0	517	[3, 4, 2, 1, 3, 4, 1, 2]	[3, 4, 2, 1, 3, 4, 1, 2]	random	513.0	512.0	495.0	495.0	101	528.0	528.0	0	592.0	592.0
72	1	2	513.0	512.0	831.0	831.0	448.0	448.0	e	4336	484.0	484	[4, 1, 3, 2, 3, 2, 1, 4]	[4, 1, 3, 2, 3, 2, 1, 4]	random	927.0	927.0	641.0	640.0	101	561.0	560.0	0	415.0	415.0
73	1	2	464.0	464.0	577.0	576.0	495.0	495.0	e	3744	453.0	453	[1, 2, 3, 4, 1, 2, 3, 4]	[1, 2, 3, 4, 1, 2, 3, 4]	random	512.0	512.0	576.0	576.0	101	529.0	528.0	0	591.0	591.0
74	1	2	511.0	511.0	400.0	400.0	449.0	448.0	e	4015	453.0	453	[2, 1, 4, 3, 2, 3, 4, 1]	[2, 1, 4, 3, 2, 3, 4, 1]	random	641.0	640.0	895.0	895.0	101	544.0	543.0	0	575.0	575.0
