	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
32	0	1							e	3214	0		656	[2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					101			0		
33	0	1	416.0	416.0	385.0	384.0	287.0	287.0	e	3214	2784	462.0	462	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	449.0	448.0	415.0	415.0	101	352.0	351.0	1	480.0	480.0
34	0	1	529.0	528.0	368.0	367.0	335.0	335.0	e	3214	2912	495.0	495	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	543.0	543.0	401.0	399.0	101	433.0	432.0	1	303.0	303.0
35	0	1	497.0	496.0	336.0	335.0	432.0	431.0	e	3214	2832	414.0	414	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	384.0	383.0	320.0	319.0	101	432.0	431.0	1	431.0	431.0
36	1	2	464.0	463.0	368.0	367.0	416.0	415.0	e	3214	2752	448.0	448	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	384.0	383.0	336.0	335.0	101	383.0	383.0	0	401.0	400.0
37	0	2	608.0	607.0	400.0	399.0	272.0	271.0	e	3200	2911	427.0	427	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	512.0	511.0	432.0	431.0	101	352.0	351.0	1	335.0	335.0
38	1	2	400.0	399.0	368.0	367.0	304.0	303.0	e	3200	2575	397.0	397	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	479.0	479.0	449.0	448.0	101	304.0	303.0	0	271.0	271.0
39	0	2	432.0	431.0	416.0	415.0	303.0	303.0	e	3174	2847	497.0	497	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	512.0	511.0	416.0	415.0	101	464.0	464.0	1	304.0	304.0
40	1	2	416.0	415.0	369.0	368.0	240.0	239.0	e	3174	2543	445.0	445	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	431.0	431.0	480.0	480.0	101	320.0	319.0	0	287.0	287.0
41	0	2		319.0	448.0	447.0	272.0	271.0	e	3158	2671	427.0	427	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	497.0	496.0	400.0	399.0	101	448.0	447.0	0	287.0	287.0
42	1	2	433.0	432.0	351.0	351.0	321.0	320.0	e	3158	2672	441.0	441	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	479.0	479.0	465.0	464.0	101	336.0	335.0	0	287.0	287.0
43	0	2	529.0	528.0	351.0	351.0	432.0	432.0	e	3176	2832	364.0	364	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	368.0	367.0	320.0	319.0	101	385.0	384.0	1	447.0	447.0
44	0	2		383.0	337.0	336.0	528.0	527.0	e	3176	2703	428.0	428	[1, 4, 2, 3, 1, 3, 4, 3]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	416.0	415.0	415.0	415.0	101	320.0	319.0	0	303.0	303.0
45	0	2	511.0	511.0	367.0	367.0	433.0	432.0	e	3176	2927	398.0	398	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	368.0	368.0	401.0	400.0	101	384.0	383.0	1	463.0	463.0
46	0	2						383.0	e	3176	1199	445.0	445	[4, 3, 1, 3]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101	368.0	367.0	0	447.0	447.0
47	1	2	464.0	463.0	368.0	367.0	320.0	319.0	e	3176	2671	398.0	398	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	432.0	431.0	448.0	447.0	101	335.0	335.0	0	304.0	304.0
48	0	2	511.0	511.0	432.0	431.0	527.0	527.0	e	3139	3039	381.0	381	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	369.0	368.0	336.0	335.0	101	369.0	368.0	1	495.0	495.0
49	0	2	432.0	431.0	367.0	367.0	369.0	368.0	e	3139	2799	412.0	412	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	464.0	463.0	432.0	431.0	101	416.0	415.0	1	319.0	319.0
50	1	2	368.0	367.0	336.0	335.0	272.0	271.0	e	3139	2479	413.0	413	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	384.0	383.0	512.0	511.0	101	319.0	319.0	0	288.0	288.0
51	0	2	417.0	416.0	368.0	367.0	448.0	447.0	e	3091	2848	395.0	395	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	384.0	383.0	368.0	367.0	101	367.0	367.0	1	496.0	496.0
52	1	2	463.0	463.0	368.0	368.0	384.0	384.0	e	3091	2703	319.0	319	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	336.0	336.0	336.0	335.0	101	385.0	384.0	0	431.0	431.0
53	0	2						351.0	e	3091	1151	353.0	353	[4, 3, 1, 3]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101	336.0	336.0	0	464.0	464.0
54	0	2	496.0	495.0	384.0	383.0	448.0	447.0	e	3091	2975	335.0	335	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	399.0	399.0	337.0	336.0	101	431.0	431.0	1	480.0	480.0
55	0	2			368.0	367.0	336.0	336.0	e	3091	2272	461.0	461	[3, 2, 4, 1, 2, 4, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B		351.0	463.0	463.0	101	448.0	448.0	0	305.0	304.0
56	0	2			369.0	368.0	304.0	303.0	e	3091	2143	446.0	446	[3, 2, 4, 1, 2, 4, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B		367.0	431.0	431.0	101	384.0	383.0	0	287.0	287.0
57	0	2	480.0	480.0	401.0	400.0	320.0	319.0	e	3091	2848	398.0	398	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	481.0	480.0	479.0	479.0	101	384.0	383.0	1	303.0	303.0
58	0	2	433.0	432.0	352.0	351.0	448.0	447.0	e	3091	2769	346.0	346	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	383.0	383.0	289.0	288.0	101	431.0	431.0	1	433.0	432.0
59	0	2			352.0	352.0	305.0	304.0	e	3091	2159	411.0	411	[3, 2, 4, 1, 2, 4, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B		399.0	399.0	399.0	101	416.0	415.0	0	287.0	287.0
60	0	2		352.0	335.0	335.0	304.0	304.0	e	3091	2689	332.0	332	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	497.0	496.0	448.0	447.0	101	416.0	416.0	0	337.0	336.0
61	1	2	432.0	431.0	353.0	352.0	271.0	271.0	e	3091	2623	445.0	445	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	480.0	479.0	399.0	399.0	101	352.0	352.0	0	336.0	336.0
62	0	2	400.0	399.0	320.0	320.0	448.0	448.0	e	3090	2703	424.0	424	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	335.0	335.0	272.0	272.0	101	448.0	448.0	1	480.0	480.0
63	0	2		352.0	320.0	319.0	303.0	303.0	e	3090	2512	443.0	443	[3, 2, 4, 1, 2, 4, 3, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	448.0	447.0	368.0	367.0	101	416.0	416.0	0	304.0	304.0
64	1	2	495.0	495.0	304.0	303.0	368.0	367.0	e	3090	2527	429.0	429	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	353.0	352.0	272.0	271.0	101	320.0	319.0	0	415.0	415.0
65	0	2							e	3052	321	474.0	474	[4, 1]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101			0		320.0
66	0	2							e	3052	703	510.0	510	[4, 3, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A					101		351.0	0	352.0	352.0
67	0	2	368.0	368.0	337.0	336.0	240.0	239.0	e	3052	2656	418.0	418	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	465.0	464.0	399.0	399.0	101	351.0	351.0	1	496.0	496.0
68	0	2			320.0	319.0	287.0	287.0	e	3052	1808	317.0	317	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				320.0	101	448.0	448.0	0	432.0	432.0
69	0	2			303.0	303.0	305.0	303.0	e	3052	2191	493.0	493	[3, 2, 4, 1, 2, 4, 2]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B		318.0	481.0	480.0	101	415.0	415.0	0	368.0	368.0
70	1	2	368.0	368.0	400.0	400.0	288.0	288.0	e	3052	2640	397.0	397	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	497.0	496.0	463.0	463.0	101	288.0	288.0	0	336.0	336.0
71	1	2	416.0	416.0	335.0	335.0	273.0	272.0	e	3036	2528	407.0	407	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	448.0	448.0	481.0	480.0	101	272.0	271.0	0	303.0	303.0
