	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
240	0	7							e	1182	272	301.0	301	[3, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253		174.0	0	96.0	94.0
241	0	7	96.0	94.0	176.0	174.0	144.0	142.0	e	1182	960	267.0	267	[3, 2, 4, 1, 2, 4, 3, 1]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B	96.0	94.0	192.0	190.0	253	144.0	142.0	1	112.0	110.0
242	1	7	128.0	126.0	112.0	110.0	160.0	158.0	e	1182	831	307.0	307	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	144.0	142.0	128.0	126.0	253	79.0	78.0	0	80.0	78.0
243	0	7			144.0	142.0	160.0	158.0	e	1187	736	272.0	272	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				158.0	253	160.0	158.0	0	112.0	110.0
244	0	7	144.0	142.0	128.0	126.0	176.0	174.0	e	1187	976	259.0	259	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	144.0	142.0	224.0	222.0	253	80.0	78.0	1	80.0	78.0
245	0	7			224.0	222.0	96.0	94.0	e	1187	704	236.0	236	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				126.0	253	144.0	142.0	0	112.0	110.0
246	0	7							e	1187	352	78.0	78	[1, 4, 3]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C					253		190.0	0	160.0	158.0
247	0	7				238.0	160.0	158.0	e	1187	736	268.0	268	[3, 2, 4, 1, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	224.0	222.0	0	112.0	110.0
248	0	7			176.0	174.0	128.0	126.0	e	1187	720	338.0	338	[1, 4, 2, 3, 1, 4]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C				158.0	253	144.0	142.0	0	112.0	110.0
249	0	7			128.0	126.0	224.0	222.0	e	1187	720	309.0	309	[4, 3, 1, 4, 2, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A				222.0	253	80.0	78.0	0	64.0	62.0
250	1	7	160.0	158.0	128.0	125.0	192.0	190.0	e	1187	927	223.0	223	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	144.0	142.0	144.0	142.0	253	79.0	78.0	0	80.0	79.0
251	1	7	128.0	126.0	128.0	126.0	176.0	174.0	e	1166	1024	141.0	141	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	160.0	158.0	224.0	222.0	253	96.0	94.0	0	112.0	110.0
252	0	8			176.0	174.0	144.0	142.0	e	1166	704	202.0	202	[3, 2, 4, 1, 2, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B				142.0	253	128.0	126.0	0	112.0	110.0
253	0	8	80.0	78.0	192.0	190.0	144.0	142.0	e	1166	1152	35.0	35	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	80.0	78.0	240.0	238.0	253	160.0	158.0	1	256.0	251.0
254	1	8	80.0	78.0	176.0	174.0	128.0	126.0	e	1166	928	194.0	194	[1, 4, 2, 3, 1, 3, 4, 2]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C	96.0	94.0	192.0	190.0	253	128.0	126.0	0	128.0	126.0
255	0	8				159.0	144.0	143.0	e	1155	512	253.0	253	[3, 2, 4, 1, 3]	10	[3, 2, 4, 1, 2, 4, 3, 1]	B					253	144.0	142.0	0	64.0	62.0
256	0	8			128.0	126.0	160.0	158.0	e	1155	768	254.0	254	[4, 3, 1, 4, 2, 3, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A		174.0	128.0	126.0	253	80.0	78.0	0	96.0	94.0
257	0	8							e	1155	272	405.0	405	[1, 4, 3]	30	[1, 4, 2, 3, 1, 3, 4, 2]	C					253		158.0	0	112.0	110.0
258	1	8	144.0	142.0	144.0	142.0	128.0	126.0	e	1155	847	308.0	308	[4, 3, 1, 4, 2, 3, 1, 2]	5	[4, 3, 1, 4, 2, 3, 1, 2]	A	128.0	126.0	112.0	110.0	253	112.0	110.0	0	79.0	78.0
