	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	movement_time	one_IKI	one_RT	pressed	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
110	1	3	1504.0	1502.0	944.0	942.0	416.0	414.0	e	5792	573.0	573	[4, 1, 2, 3, 2, 4, 1, 3]	[4, 1, 2, 3, 2, 4, 1, 3]	random	1088.0	1086.0	528.0	526.0	247	608.0	606.0	0	704.0	702.0
111	1	3	448.0	446.0	592.0	590.0	464.0	462.0	e	3488	668.0	668	[3, 1, 2, 4, 1, 2, 3, 4]	[3, 1, 2, 4, 1, 2, 3, 4]	random	448.0	446.0	528.0	526.0	247	496.0	494.0	0	512.0	510.0
112	1	3	416.0	414.0	1008.0	1006.0	544.0	542.0	e	4352	476.0	476	[2, 1, 3, 4, 3, 4, 1, 2]	[2, 1, 3, 4, 3, 4, 1, 2]	random	608.0	606.0	688.0	686.0	247	496.0	494.0	0	592.0	590.0
113	1	3	560.0	558.0	576.0	574.0	416.0	413.0	e	3759	796.0	796	[3, 2, 4, 1, 2, 3, 1, 4]	[3, 2, 4, 1, 2, 3, 1, 4]	random	560.0	558.0	656.0	654.0	247	511.0	510.0	0	480.0	478.0
114	1	3	448.0	446.0	512.0	510.0	592.0	590.0	e	4464	587.0	587	[2, 3, 4, 1, 4, 3, 2, 1]	[2, 3, 4, 1, 4, 3, 2, 1]	random	624.0	622.0	880.0	878.0	247	688.0	686.0	0	720.0	718.0
115	1	3	400.0	398.0	464.0	462.0	496.0	494.0	e	3839	764.0	764	[3, 1, 2, 4, 1, 4, 2, 3]	[3, 1, 2, 4, 1, 4, 2, 3]	random	607.0	605.0	672.0	670.0	247	576.0	574.0	0	624.0	622.0
116	1	3	416.0	414.0	560.0	558.0	433.0	431.0	e	4017	781.0	781	[2, 3, 4, 1, 4, 1, 3, 2]	[2, 3, 4, 1, 4, 1, 3, 2]	random	928.0	926.0	464.0	462.0	247	496.0	494.0	0	720.0	718.0
117	1	3	623.0	621.0	496.0	494.0	448.0	446.0	e	4639	637.0	637	[1, 3, 4, 2, 4, 1, 2, 3]	[1, 3, 4, 2, 4, 1, 2, 3]	random	528.0	526.0	864.0	862.0	247	704.0	702.0	0	976.0	974.0
118	1	3	528.0	526.0	608.0	606.0	480.0	478.0	e	3888	475.0	475	[1, 2, 4, 3, 1, 2, 3, 4]	[1, 2, 4, 3, 1, 2, 3, 4]	random	480.0	478.0	464.0	462.0	247	672.0	670.0	0	656.0	654.0
119	1	3	416.0	414.0	528.0	526.0	560.0	558.0	e	5312	699.0	699	[1, 3, 2, 4, 1, 4, 3, 2]	[1, 3, 2, 4, 1, 4, 3, 2]	random	880.0	878.0	560.0	558.0	247	1456.0	1454.0	0	912.0	910.0
120	1	4	624.0	622.0	496.0	494.0	400.0	398.0	e	3968	789.0	789	[4, 3, 1, 2, 1, 3, 4, 2]	[4, 3, 1, 2, 1, 3, 4, 2]	random	480.0	478.0	640.0	638.0	247	848.0	846.0	0	480.0	478.0
121	1	4	544.0	542.0	592.0	590.0	384.0	382.0	e	3744	556.0	556	[2, 1, 4, 3, 4, 3, 1, 2]	[2, 1, 4, 3, 4, 3, 1, 2]	random	704.0	702.0	480.0	478.0	247	544.0	542.0	0	496.0	494.0
122	1	4	432.0	430.0	464.0	462.0	416.0	414.0	e	3280	763.0	763	[2, 1, 3, 4, 1, 4, 2, 3]	[2, 1, 3, 4, 1, 4, 2, 3]	random	560.0	558.0	480.0	478.0	247	464.0	462.0	0	464.0	461.0
123	1	4	944.0	942.0	1088.0	1086.0	400.0	398.0	e	4448	683.0	683	[3, 1, 2, 4, 2, 1, 4, 3]	[3, 1, 2, 4, 2, 1, 4, 3]	random	560.0	558.0	464.0	462.0	247	432.0	430.0	0	560.0	558.0
124	0	4			593.0	591.0	399.0	397.0	e	2415	604.0	604	[3, 2, 1, 4, 1, 4]	[3, 2, 1, 4, 1, 2, 3, 4]	random				493.0	247	400.0	398.0	0	528.0	526.0
125	0	4				414.0	400.0	398.0	e	1680	499.0	499	[2, 1, 4, 3, 1]	[2, 1, 4, 3, 2, 4, 1, 3]	random					247	464.0	462.0	0	400.0	398.0
126	1	4	529.0	527.0	624.0	622.0	464.0	462.0	e	3745	1029.0	1029	[3, 1, 4, 2, 1, 3, 2, 4]	[3, 1, 4, 2, 1, 3, 2, 4]	random	432.0	430.0	528.0	526.0	247	544.0	542.0	0	624.0	622.0
127	1	4	784.0	782.0	560.0	558.0	432.0	430.0	e	4336	555.0	555	[1, 4, 3, 2, 4, 1, 3, 2]	[1, 4, 3, 2, 4, 1, 3, 2]	random	768.0	766.0	544.0	542.0	247	848.0	846.0	0	400.0	398.0
128	1	4	1120.0	1118.0	480.0	478.0	416.0	414.0	e	4688	539.0	539	[2, 3, 4, 1, 2, 4, 3, 1]	[2, 3, 4, 1, 2, 4, 3, 1]	random	752.0	750.0	528.0	526.0	247	720.0	718.0	0	672.0	670.0
129	1	4	432.0	430.0	512.0	510.0	480.0	478.0	e	3936	556.0	556	[2, 1, 4, 3, 1, 2, 3, 4]	[2, 1, 4, 3, 1, 2, 3, 4]	random	704.0	702.0	400.0	398.0	247	495.0	493.0	0	913.0	910.0
130	1	4	416.0	414.0	544.0	542.0	432.0	430.0	e	4000	474.0	474	[4, 3, 1, 2, 4, 1, 2, 3]	[4, 3, 1, 2, 4, 1, 2, 3]	random	496.0	494.0	592.0	590.0	247	688.0	686.0	0	832.0	830.0
131	1	4	544.0	542.0	768.0	766.0	784.0	782.0	e	4239	651.0	651	[3, 2, 4, 1, 3, 2, 1, 4]	[3, 2, 4, 1, 3, 2, 1, 4]	random	480.0	477.0	687.0	685.0	247	592.0	590.0	0	384.0	382.0
132	1	4	800.0	798.0	640.0	638.0	320.0	318.0	e	3904	699.0	699	[1, 4, 3, 2, 4, 3, 1, 2]	[1, 4, 3, 2, 4, 3, 1, 2]	random	576.0	574.0	608.0	606.0	247	576.0	574.0	0	384.0	382.0
133	1	4	800.0	798.0	832.0	830.0	320.0	318.0	e	4224	587.0	587	[3, 1, 4, 2, 4, 2, 1, 3]	[3, 1, 4, 2, 4, 2, 1, 3]	random	624.0	622.0	752.0	750.0	247	432.0	430.0	0	464.0	462.0
134	1	4	576.0	574.0	721.0	719.0	464.0	462.0	e	4033	618.0	618	[1, 3, 4, 2, 3, 2, 1, 4]	[1, 3, 4, 2, 3, 2, 1, 4]	random	608.0	606.0	512.0	510.0	247	544.0	542.0	0	608.0	606.0
135	0	4		766.0	640.0	638.0	368.0	366.0	e	4224	507.0	507	[2, 1, 3, 4, 2, 3, 4, 2]	[2, 1, 3, 4, 2, 3, 4, 1]	random	640.0	638.0	752.0	750.0	247	480.0	478.0	0	576.0	574.0
136	0	4			400.0	398.0	384.0	382.0	e	3423	484.0	484	[4, 1, 2, 3, 4, 1, 4]	[4, 1, 2, 3, 4, 1, 3, 2]	random		782.0	960.0	958.0	247	416.0	413.0	0	479.0	478.0
137	1	4	544.0	542.0	464.0	462.0	384.0	382.0	e	3696	898.0	898	[3, 1, 4, 2, 3, 4, 2, 1]	[3, 1, 4, 2, 3, 4, 2, 1]	random	608.0	606.0	416.0	414.0	247	560.0	558.0	0	720.0	718.0
138	1	4	752.0	750.0	559.0	557.0	544.0	542.0	e	4127	619.0	619	[2, 1, 4, 3, 2, 4, 3, 1]	[2, 1, 4, 3, 2, 4, 3, 1]	random	736.0	734.0	624.0	622.0	247	464.0	462.0	0	448.0	446.0
139	1	4	496.0	494.0	577.0	575.0	496.0	494.0	e	3809	650.0	650	[3, 1, 2, 4, 2, 3, 1, 4]	[3, 1, 2, 4, 2, 3, 1, 4]	random	544.0	542.0	672.0	670.0	247	576.0	574.0	0	448.0	446.0
