	accuracy	block	eight_IKI	eight_RT	five_IKI	five_RT	four_IKI	four_RT	group	max_time	movement_time	one_IKI	one_RT	pressed	reward	seq_keys	sequence	seven_IKI	seven_RT	six_IKI	six_RT	subject	three_IKI	three_RT	too_slow	two_IKI	two_RT
10	1	1	448.0	446.0	352.0	350.0	352.0	350.0	e	3402.0	2769.0	579.0	579.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	432.0	430.0	401.0	399.0	246	416.0	414.0	0	368.0	366.0
11	1	1	480.0	478.0	368.0	366.0	352.0	350.0	e	3402.0	2544.0	399.0	399.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	368.0	366.0	320.0	318.0	246	352.0	350.0	0	304.0	302.0
12	0	1			320.0	318.0	320.0	318.0	e	3402.0	2016.0	367.0	367.0	[3, 2, 4, 1, 2, 4, 2]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C		398.0	320.0	318.0	246	320.0	318.0	0	336.0	334.0
13	0	1		302.0	480.0	478.0	352.0	350.0	e	3402.0	2672.0	451.0	451.0	[2, 1, 4, 2, 3, 1, 4, 2]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	384.0	382.0	416.0	414.0	246	384.0	382.0	0	352.0	350.0
14	1	1	400.0	398.0	352.0	350.0	352.0	350.0	e	3402.0	2496.0	466.0	466.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	336.0	334.0	368.0	366.0	246	352.0	350.0	0	336.0	334.0
15	1	1	368.0	366.0	368.0	366.0	320.0	318.0	e	3402.0	2528.0	447.0	447.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	352.0	350.0	368.0	366.0	246	416.0	414.0	0	336.0	334.0
16	1	1	320.0	318.0	432.0	430.0	320.0	318.0	e	3402.0	2496.0	399.0	399.0	[2, 1, 4, 2, 3, 1, 4, 3]	5	[2, 1, 4, 2, 3, 1, 4, 3]	A	320.0	318.0	400.0	398.0	246	336.0	334.0	0	368.0	366.0
17	1	1	288.0	286.0	352.0	350.0	336.0	334.0	e	3402.0	2415.0	574.0	574.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	432.0	430.0	352.0	350.0	246	304.0	302.0	0	351.0	350.0
18	1	1	432.0	430.0	336.0	334.0	368.0	366.0	e	3402.0	2544.0	414.0	414.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	400.0	398.0	368.0	366.0	246	320.0	318.0	0	320.0	318.0
19	1	1	272.0	270.0	336.0	334.0	368.0	366.0	e	3402.0	2447.0	382.0	382.0	[3, 2, 4, 1, 2, 4, 3, 1]	30	[3, 2, 4, 1, 2, 4, 3, 1]	C	480.0	478.0	352.0	350.0	246	319.0	318.0	0	320.0	318.0
20	1	1	416.0	414.0	336.0	334.0	320.0	318.0	e	3402.0	2385.0	398.0	398.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	334.0	336.0	334.0	246	320.0	318.0	0	321.0	319.0
21	1	1	479.0	477.0	320.0	318.0	320.0	318.0	e	3402.0	2415.0	493.0	493.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	336.0	335.0	352.0	351.0	246	304.0	302.0	0	304.0	302.0
22	1	1	304.0	302.0	320.0	318.0	352.0	350.0	e	3402.0	2256.0	621.0	621.0	[4, 3, 1, 4, 2, 3, 1, 2]	10	[4, 3, 1, 4, 2, 3, 1, 2]	B	304.0	302.0	352.0	350.0	246	304.0	302.0	0	320.0	318.0
